library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,14320,89,11,61.19,100,2026-06-01T12:51:54.687057
riverpod,add_user,6056,46,11,37.91,100,2026-06-01T12:52:06.970012
riverpod,add_user,3824,61,11,52.44,100,2026-06-01T12:52:16.809233
riverpod,add_user,3848,49,11,32.91,100,2026-06-01T12:52:26.560826
riverpod,add_user,5984,57,11,44.70,100,2026-06-01T12:52:36.397932
riverpod,add_user,5792,48,11,38.38,100,2026-06-01T12:52:46.162375
riverpod,edit_user,796,33,2,27.40,100,2026-06-01T12:52:52.542122
riverpod,search_query,-1548,30,1,18.38,100,2026-06-01T12:52:55.068463
riverpod,search_clear,3656,60,11,48.41,100,2026-06-01T12:52:56.166437
riverpod,delete_user,3872,50,11,41.48,100,2026-06-01T12:52:58.267308
riverpod,load_page_2,7056,58,13,52.37,100,2026-06-01T12:53:00.368239
riverpod,load_page_3,5104,80,21,70.16,100,2026-06-01T12:53:01.743140
getx,load_page_1,6244,55,10,29.89,100,2026-06-01T12:53:05.863167
getx,add_user,6096,52,10,39.78,100,2026-06-01T12:53:18.243300
getx,add_user,3740,47,10,34.88,100,2026-06-01T12:53:28.045428
getx,add_user,5668,41,10,34.38,100,2026-06-01T12:53:37.824001
getx,add_user,3684,60,10,44.19,100,2026-06-01T12:53:47.638264
getx,add_user,5816,53,10,40.54,100,2026-06-01T12:53:57.418502
getx,edit_user,3568,43,10,34.18,100,2026-06-01T12:54:03.864110
getx,search_query,-1668,27,1,12.36,100,2026-06-01T12:54:06.377570
getx,search_clear,5408,59,10,47.49,100,2026-06-01T12:54:07.485763
getx,delete_user,1392,45,10,37.53,100,2026-06-01T12:54:09.564583
getx,load_page_2,976,80,22,63.45,100,2026-06-01T12:54:11.692506
getx,load_page_3,5404,81,33,71.40,100,2026-06-01T12:54:13.057825
provider,load_page_1,6192,46,11,27.34,100,2026-06-01T12:54:17.187469
provider,add_user,5892,53,11,41.32,100,2026-06-01T12:54:29.563482
provider,add_user,5712,55,11,43.19,100,2026-06-01T12:54:39.371175
provider,add_user,5868,51,11,39.15,100,2026-06-01T12:54:49.145466
provider,add_user,3712,51,11,40.40,100,2026-06-01T12:54:58.942717
provider,add_user,5880,57,11,44.58,100,2026-06-01T12:55:08.761205
provider,edit_user,3380,44,11,34.72,100,2026-06-01T12:55:15.169513
provider,search_query,-1452,27,2,15.89,100,2026-06-01T12:55:17.683387
provider,search_clear,1524,60,11,48.60,100,2026-06-01T12:55:18.782340
provider,delete_user,1596,54,11,43.73,100,2026-06-01T12:55:20.858997
provider,load_page_2,5380,79,23,64.76,100,2026-06-01T12:55:22.979401
provider,load_page_3,5408,78,34,68.36,100,2026-06-01T12:55:24.357891
watch_it,load_page_1,6280,51,11,33.40,100,2026-06-01T12:55:28.471319
watch_it,add_user,5884,54,11,41.81,100,2026-06-01T12:55:40.831261
watch_it,add_user,6080,55,11,43.63,100,2026-06-01T12:55:50.619197
watch_it,add_user,5824,41,11,32.74,100,2026-06-01T12:56:00.411348
watch_it,add_user,5796,57,11,42.75,100,2026-06-01T12:56:10.229274
watch_it,add_user,5724,53,11,41.36,100,2026-06-01T12:56:20.012354
watch_it,edit_user,3368,45,11,34.80,100,2026-06-01T12:56:26.408313
watch_it,search_query,-1376,29,2,19.05,100,2026-06-01T12:56:28.908398
watch_it,search_clear,3628,50,11,42.62,100,2026-06-01T12:56:29.990817
watch_it,delete_user,1760,47,11,37.49,100,2026-06-01T12:56:32.074629
watch_it,load_page_2,4984,59,23,51.90,100,2026-06-01T12:56:34.175124
watch_it,load_page_3,5280,81,34,71.24,100,2026-06-01T12:56:35.548646
