library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,14496,66,11,55.41,100,2026-06-01T12:57:18.697396
riverpod,add_user,6096,52,11,39.97,100,2026-06-01T12:57:31.005290
riverpod,add_user,5792,52,11,43.10,100,2026-06-01T12:57:40.805394
riverpod,add_user,5912,57,11,47.29,100,2026-06-01T12:57:50.598439
riverpod,add_user,6020,44,11,33.80,100,2026-06-01T12:58:00.390570
riverpod,add_user,3732,59,11,50.71,100,2026-06-01T12:58:10.191044
riverpod,edit_user,552,33,2,28.23,100,2026-06-01T12:58:16.598517
riverpod,search_query,-1448,25,1,15.85,100,2026-06-01T12:58:19.113819
riverpod,search_clear,1648,63,11,52.34,100,2026-06-01T12:58:20.229217
riverpod,delete_user,2108,61,11,47.40,100,2026-06-01T12:58:22.326611
riverpod,load_page_2,4768,61,13,55.81,100,2026-06-01T12:58:24.425679
riverpod,load_page_3,5108,95,21,79.11,100,2026-06-01T12:58:25.816787
getx,load_page_1,6212,55,10,31.12,100,2026-06-01T12:58:29.937965
getx,add_user,5976,58,10,44.76,100,2026-06-01T12:58:42.297795
getx,add_user,3632,48,10,34.43,100,2026-06-01T12:58:52.086468
getx,add_user,5896,55,10,43.49,100,2026-06-01T12:59:01.899567
getx,add_user,5812,56,10,44.01,100,2026-06-01T12:59:11.697629
getx,add_user,5968,55,10,42.97,100,2026-06-01T12:59:21.503047
getx,edit_user,2996,43,10,35.68,100,2026-06-01T12:59:27.896200
getx,search_query,-1728,23,1,12.98,100,2026-06-01T12:59:30.405903
getx,search_clear,3520,59,10,48.02,100,2026-06-01T12:59:31.509904
getx,delete_user,1468,69,10,49.99,100,2026-06-01T12:59:33.611982
getx,load_page_2,2664,80,22,65.16,100,2026-06-01T12:59:35.732293
getx,load_page_3,5144,86,33,72.38,100,2026-06-01T12:59:37.110186
provider,load_page_1,6464,55,11,31.51,100,2026-06-01T12:59:41.240563
provider,add_user,5792,55,11,45.34,100,2026-06-01T12:59:53.627562
provider,add_user,6064,51,11,39.85,100,2026-06-01T13:00:03.402470
provider,add_user,5908,57,11,48.26,100,2026-06-01T13:00:13.205995
provider,add_user,5996,56,11,43.36,100,2026-06-01T13:00:22.970404
provider,add_user,5876,57,11,47.29,100,2026-06-01T13:00:32.777480
provider,edit_user,3632,39,11,32.56,100,2026-06-01T13:00:39.167655
provider,search_query,-1388,30,2,17.94,100,2026-06-01T13:00:41.686890
provider,search_clear,3612,65,11,52.39,100,2026-06-01T13:00:42.791416
provider,delete_user,1856,49,11,39.91,100,2026-06-01T13:00:44.878813
provider,load_page_2,3032,81,23,66.45,100,2026-06-01T13:00:47.000993
provider,load_page_3,5504,85,34,76.14,100,2026-06-01T13:00:48.359107
watch_it,load_page_1,4172,57,11,32.23,100,2026-06-01T13:00:52.469405
watch_it,add_user,6084,60,11,49.20,100,2026-06-01T13:01:04.821364
watch_it,add_user,5980,55,11,44.64,100,2026-06-01T13:01:14.633751
watch_it,add_user,5828,52,11,41.76,100,2026-06-01T13:01:24.418476
watch_it,add_user,5640,47,11,35.03,100,2026-06-01T13:01:34.205480
watch_it,add_user,5680,51,11,39.37,100,2026-06-01T13:01:43.987471
watch_it,edit_user,3328,32,11,28.21,100,2026-06-01T13:01:50.362463
watch_it,search_query,-1488,37,2,18.99,100,2026-06-01T13:01:52.895268
watch_it,search_clear,3628,60,11,49.26,100,2026-06-01T13:01:54.000480
watch_it,delete_user,1860,54,11,44.74,100,2026-06-01T13:01:56.085775
watch_it,load_page_2,2960,62,23,54.70,100,2026-06-01T13:01:58.188551
watch_it,load_page_3,5348,84,34,73.40,100,2026-06-01T13:01:59.589059
