library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,12688,109,11,94.64,100,2026-06-01T12:30:55.895906
riverpod,add_user,5988,53,11,41.56,100,2026-06-01T12:31:08.512706
riverpod,add_user,5804,55,11,42.75,100,2026-06-01T12:31:18.359565
riverpod,add_user,6128,53,11,41.57,100,2026-06-01T12:31:28.148383
riverpod,add_user,5944,63,11,44.68,100,2026-06-01T12:31:37.969427
riverpod,add_user,5788,56,11,43.60,100,2026-06-01T12:31:47.763084
riverpod,edit_user,620,19,2,18.64,100,2026-06-01T12:31:54.144010
riverpod,search_query,-1436,28,1,18.61,100,2026-06-01T12:31:56.668650
riverpod,search_clear,1420,62,11,48.96,100,2026-06-01T12:31:57.767401
riverpod,delete_user,2072,51,11,43.80,100,2026-06-01T12:31:59.864139
riverpod,load_page_2,4532,56,13,51.81,100,2026-06-01T12:32:01.962387
riverpod,load_page_3,3724,76,21,68.04,100,2026-06-01T12:32:03.355425
getx,load_page_1,6180,51,10,33.70,100,2026-06-01T12:32:07.465073
getx,add_user,5724,51,10,39.28,100,2026-06-01T12:32:19.842809
getx,add_user,3708,61,10,57.15,100,2026-06-01T12:32:29.660395
getx,add_user,3736,46,10,32.90,100,2026-06-01T12:32:39.418401
getx,add_user,5540,41,10,33.61,100,2026-06-01T12:32:49.180591
getx,add_user,5536,55,10,45.55,100,2026-06-01T12:32:59.006934
getx,edit_user,3140,43,10,33.91,100,2026-06-01T12:33:05.410531
getx,search_query,-1748,28,1,12.08,100,2026-06-01T12:33:07.926337
getx,search_clear,5540,56,10,45.95,100,2026-06-01T12:33:09.022187
getx,delete_user,1460,47,10,38.17,100,2026-06-01T12:33:11.094967
getx,load_page_2,2688,61,22,54.06,100,2026-06-01T12:33:13.193255
getx,load_page_3,5176,97,33,82.30,100,2026-06-01T12:33:14.569602
provider,load_page_1,6196,55,11,31.04,100,2026-06-01T12:33:18.694737
provider,add_user,5864,46,11,36.65,100,2026-06-01T12:33:31.065084
provider,add_user,5696,47,11,34.97,100,2026-06-01T12:33:40.861606
provider,add_user,5920,55,11,41.95,100,2026-06-01T12:33:50.642598
provider,add_user,5704,54,11,42.04,100,2026-06-01T12:34:00.424377
provider,add_user,5632,49,11,37.77,100,2026-06-01T12:34:10.218923
provider,edit_user,3772,47,11,36.99,100,2026-06-01T12:34:16.648871
provider,search_query,-1476,35,2,21.13,100,2026-06-01T12:34:19.144406
provider,search_clear,5656,59,11,48.38,100,2026-06-01T12:34:20.246281
provider,delete_user,3940,47,11,38.12,100,2026-06-01T12:34:22.324326
provider,load_page_2,3068,74,23,60.85,100,2026-06-01T12:34:24.440506
provider,load_page_3,5248,94,34,79.32,100,2026-06-01T12:34:25.836702
watch_it,load_page_1,6228,62,11,32.05,100,2026-06-01T12:34:29.906334
watch_it,add_user,5832,57,11,47.18,100,2026-06-01T12:34:42.249421
watch_it,add_user,5864,39,11,32.77,100,2026-06-01T12:34:52.013202
watch_it,add_user,5592,49,11,39.37,100,2026-06-01T12:35:01.806237
watch_it,add_user,5624,57,11,44.06,100,2026-06-01T12:35:11.634357
watch_it,add_user,5868,43,11,35.62,100,2026-06-01T12:35:21.402395
watch_it,edit_user,3540,30,11,20.74,100,2026-06-01T12:35:27.780483
watch_it,search_query,-1280,32,2,18.80,100,2026-06-01T12:35:30.309569
watch_it,search_clear,3656,61,11,49.31,100,2026-06-01T12:35:31.406187
watch_it,delete_user,1780,47,11,39.38,100,2026-06-01T12:35:33.492403
watch_it,load_page_2,3004,64,23,55.27,100,2026-06-01T12:35:35.592658
watch_it,load_page_3,5268,91,34,78.07,100,2026-06-01T12:35:36.963286
