library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,11620,47,1,27.87,0,2026-06-01T16:41:49.904664
riverpod,add_user,-784,21,2,19.59,0,2026-06-01T16:42:02.100502
riverpod,add_user,3464,20,3,15.29,0,2026-06-01T16:42:11.778741
riverpod,add_user,1700,20,4,15.62,0,2026-06-01T16:42:21.466558
riverpod,add_user,2100,24,5,18.41,0,2026-06-01T16:42:31.098119
riverpod,add_user,2240,26,6,21.00,0,2026-06-01T16:42:40.775479
riverpod,edit_user,-1300,13,2,11.82,0,2026-06-01T16:42:47.111300
riverpod,search_query,464,13,1,13.38,0,2026-06-01T16:42:49.607139
riverpod,search_clear,4184,32,6,19.64,0,2026-06-01T16:42:50.677154
riverpod,delete_user,-416,24,5,14.20,0,2026-06-01T16:42:52.741495
getx,load_page_1,3084,21,0,16.31,0,2026-06-01T16:42:57.544800
getx,add_user,-1180,16,1,11.41,0,2026-06-01T16:43:09.806398
getx,add_user,1248,18,2,13.32,0,2026-06-01T16:43:19.462550
getx,add_user,1616,19,3,13.87,0,2026-06-01T16:43:29.136091
getx,add_user,1908,23,4,16.93,0,2026-06-01T16:43:38.834452
getx,add_user,2260,18,5,14.30,0,2026-06-01T16:43:48.511204
getx,edit_user,788,13,5,13.62,0,2026-06-01T16:43:54.856837
getx,search_query,2408,11,1,11.62,0,2026-06-01T16:43:57.347104
getx,search_clear,3880,38,5,33.69,0,2026-06-01T16:43:58.425920
getx,delete_user,1856,23,4,16.96,0,2026-06-01T16:44:00.493535
provider,load_page_1,3380,22,1,17.40,0,2026-06-01T16:44:05.287682
provider,add_user,1064,19,2,13.13,0,2026-06-01T16:44:17.534140
provider,add_user,1444,20,3,14.68,0,2026-06-01T16:44:27.226050
provider,add_user,1732,21,4,15.80,0,2026-06-01T16:44:36.896331
provider,add_user,572,21,5,14.83,0,2026-06-01T16:44:46.575922
provider,add_user,4308,23,6,18.63,0,2026-06-01T16:44:56.257457
provider,edit_user,1256,17,6,14.36,0,2026-06-01T16:45:02.593961
provider,search_query,716,20,2,15.48,0,2026-06-01T16:45:05.081347
provider,search_clear,4224,23,6,18.39,0,2026-06-01T16:45:06.144116
provider,delete_user,-156,26,5,15.79,0,2026-06-01T16:45:08.211539
watch_it,load_page_1,6800,25,1,16.39,0,2026-06-01T16:45:12.996071
watch_it,add_user,2832,16,2,15.80,0,2026-06-01T16:45:25.213029
watch_it,add_user,-172,14,3,11.51,0,2026-06-01T16:45:34.834958
watch_it,add_user,3804,22,4,16.45,0,2026-06-01T16:45:44.493421
watch_it,add_user,1872,24,5,18.15,0,2026-06-01T16:45:54.157337
watch_it,add_user,2384,25,6,19.46,0,2026-06-01T16:46:03.803070
watch_it,edit_user,1124,19,6,15.36,0,2026-06-01T16:46:10.115168
watch_it,search_query,652,13,2,11.63,0,2026-06-01T16:46:12.603046
watch_it,search_clear,4044,21,6,15.21,0,2026-06-01T16:46:13.653164
watch_it,delete_user,1964,16,5,11.16,0,2026-06-01T16:46:15.711165
