library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,9988,45,1,31.71,0,2026-06-01T15:25:52.682342
riverpod,add_user,1184,35,2,34.32,0,2026-06-01T15:26:05.017454
riverpod,add_user,1504,39,3,31.77,0,2026-06-01T15:26:14.797756
riverpod,add_user,1772,33,4,26.47,0,2026-06-01T15:26:24.573871
riverpod,add_user,4124,32,5,28.46,0,2026-06-01T15:26:34.345406
riverpod,add_user,4408,33,6,30.07,0,2026-06-01T15:26:44.109447
riverpod,edit_user,516,21,2,21.86,0,2026-06-01T15:26:50.516142
riverpod,search_query,-1288,26,1,14.45,0,2026-06-01T15:26:53.051812
riverpod,search_clear,104,42,6,36.73,0,2026-06-01T15:26:54.137950
riverpod,delete_user,-28,35,5,28.79,0,2026-06-01T15:26:56.237836
getx,load_page_1,920,26,0,28.46,0,2026-06-01T15:27:01.085837
getx,add_user,2800,31,1,20.71,0,2026-06-01T15:27:13.423120
getx,add_user,3104,28,2,22.85,0,2026-06-01T15:27:23.221300
getx,add_user,1612,24,3,18.53,0,2026-06-01T15:27:32.957089
getx,add_user,3960,29,4,25.90,0,2026-06-01T15:27:42.683222
getx,add_user,4140,47,5,36.35,0,2026-06-01T15:27:52.487452
getx,edit_user,2852,22,5,20.55,0,2026-06-01T15:27:58.867289
getx,search_query,-1752,27,1,16.82,0,2026-06-01T15:28:01.374356
getx,search_clear,1656,47,5,37.18,0,2026-06-01T15:28:02.458507
getx,delete_user,-388,34,4,26.90,0,2026-06-01T15:28:04.532508
provider,load_page_1,1136,26,1,41.60,0,2026-06-01T15:28:09.382858
provider,add_user,928,29,2,23.70,0,2026-06-01T15:28:21.710461
provider,add_user,2604,31,3,24.45,0,2026-06-01T15:28:31.437489
provider,add_user,3616,33,4,27.48,0,2026-06-01T15:28:41.209402
provider,add_user,4124,37,5,31.16,0,2026-06-01T15:28:51.028033
provider,add_user,4300,35,6,30.25,0,2026-06-01T15:29:00.786581
provider,edit_user,3088,24,6,22.31,0,2026-06-01T15:29:07.165971
provider,search_query,856,31,2,17.57,0,2026-06-01T15:29:09.681238
provider,search_clear,2104,32,6,27.55,0,2026-06-01T15:29:10.733713
provider,delete_user,-64,52,5,35.69,0,2026-06-01T15:29:12.848171
watch_it,load_page_1,3460,34,1,29.54,0,2026-06-01T15:29:17.711860
watch_it,add_user,808,36,2,29.68,0,2026-06-01T15:29:30.019450
watch_it,add_user,3312,36,3,29.87,0,2026-06-01T15:29:39.776202
watch_it,add_user,3900,33,4,27.10,0,2026-06-01T15:29:49.554440
watch_it,add_user,3896,28,5,24.52,0,2026-06-01T15:29:59.318047
watch_it,add_user,4332,22,6,15.59,0,2026-06-01T15:30:09.052023
watch_it,edit_user,3004,30,6,20.55,0,2026-06-01T15:30:15.398110
watch_it,search_query,-1428,12,2,6.05,0,2026-06-01T15:30:17.852399
watch_it,search_clear,-80,44,6,27.55,0,2026-06-01T15:30:18.922011
watch_it,delete_user,-188,24,5,15.62,0,2026-06-01T15:30:20.962073
