library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,14860,57,11,44.87,1000,2026-06-01T14:04:01.693125
riverpod,add_user,6348,57,11,44.76,1000,2026-06-01T14:04:14.091215
riverpod,add_user,5736,45,11,36.08,1000,2026-06-01T14:04:23.910140
riverpod,add_user,5916,57,11,46.41,1000,2026-06-01T14:04:33.693598
riverpod,add_user,5928,56,11,44.60,1000,2026-06-01T14:04:43.462045
riverpod,add_user,5700,57,11,46.88,1000,2026-06-01T14:04:53.240678
riverpod,edit_user,552,32,2,26.21,1000,2026-06-01T14:04:59.646073
riverpod,search_query,-1436,37,1,18.54,1000,2026-06-01T14:05:02.188334
riverpod,search_clear,3608,64,11,51.89,1000,2026-06-01T14:05:03.299210
riverpod,delete_user,2024,51,11,43.36,1000,2026-06-01T14:05:05.377087
riverpod,load_page_2,4636,59,13,53.67,1000,2026-06-01T14:05:07.470567
riverpod,load_page_3,5296,78,21,67.53,1000,2026-06-01T14:05:08.859464
getx,load_page_1,6212,42,10,34.90,1000,2026-06-01T14:05:12.967978
getx,add_user,4052,47,10,33.75,1000,2026-06-01T14:05:25.330570
getx,add_user,3776,57,10,42.84,1000,2026-06-01T14:05:35.151363
getx,add_user,5552,60,10,49.63,1000,2026-06-01T14:05:44.955106
getx,add_user,5616,56,10,43.03,1000,2026-06-01T14:05:54.741985
getx,add_user,5672,57,10,43.42,1000,2026-06-01T14:06:04.528869
getx,edit_user,3420,43,10,31.87,1000,2026-06-01T14:06:10.883001
getx,search_query,-1736,36,1,12.94,1000,2026-06-01T14:06:13.375014
getx,search_clear,3360,56,10,45.38,1000,2026-06-01T14:06:14.469614
getx,delete_user,1324,53,10,40.77,1000,2026-06-01T14:06:16.545495
getx,load_page_2,2852,58,22,51.17,1000,2026-06-01T14:06:18.648946
getx,load_page_3,5284,85,33,70.37,1000,2026-06-01T14:06:20.030478
provider,load_page_1,6160,50,11,32.77,1000,2026-06-01T14:06:24.127942
provider,add_user,6180,57,11,44.49,1000,2026-06-01T14:06:36.504570
provider,add_user,5620,58,11,46.92,1000,2026-06-01T14:06:46.248274
provider,add_user,5748,58,11,45.53,1000,2026-06-01T14:06:56.050866
provider,add_user,3592,62,11,46.34,1000,2026-06-01T14:07:05.849603
provider,add_user,5600,41,11,33.15,1000,2026-06-01T14:07:15.604109
provider,edit_user,3780,44,11,33.93,1000,2026-06-01T14:07:22.032245
provider,search_query,-1372,40,2,18.17,1000,2026-06-01T14:07:24.533339
provider,search_clear,3732,60,11,49.18,1000,2026-06-01T14:07:25.630545
provider,delete_user,1680,49,11,39.30,1000,2026-06-01T14:07:27.710434
provider,load_page_2,3156,65,23,56.02,1000,2026-06-01T14:07:29.802362
provider,load_page_3,5296,82,34,72.40,1000,2026-06-01T14:07:31.175286
watch_it,load_page_1,6444,52,11,33.37,1000,2026-06-01T14:07:35.302207
watch_it,add_user,3960,58,11,45.66,1000,2026-06-01T14:07:47.710217
watch_it,add_user,5676,55,11,43.16,1000,2026-06-01T14:07:57.495034
watch_it,add_user,5880,55,11,44.43,1000,2026-06-01T14:08:07.281704
watch_it,add_user,3576,47,11,34.55,1000,2026-06-01T14:08:17.047030
watch_it,add_user,5820,60,11,48.43,1000,2026-06-01T14:08:26.848141
watch_it,edit_user,3592,28,11,24.83,1000,2026-06-01T14:08:33.226457
watch_it,search_query,-1256,40,2,17.62,1000,2026-06-01T14:08:35.761306
watch_it,search_clear,3608,59,11,48.00,1000,2026-06-01T14:08:36.857477
watch_it,delete_user,1628,53,11,41.41,1000,2026-06-01T14:08:38.938558
watch_it,load_page_2,5876,106,23,92.60,1000,2026-06-01T14:08:41.061931
watch_it,load_page_3,5364,77,34,58.48,1000,2026-06-01T14:08:42.380084
