library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,7796,68,11,48.22,1000,2026-06-01T13:36:51.276709
riverpod,add_user,6084,48,11,36.65,1000,2026-06-01T13:37:03.572269
riverpod,add_user,6024,56,11,46.79,1000,2026-06-01T13:37:13.386445
riverpod,add_user,5968,53,11,42.95,1000,2026-06-01T13:37:23.139545
riverpod,add_user,5976,57,11,44.43,1000,2026-06-01T13:37:32.911462
riverpod,add_user,5920,45,11,36.61,1000,2026-06-01T13:37:42.676586
riverpod,edit_user,536,33,2,27.26,1000,2026-06-01T13:37:49.067687
riverpod,search_query,-1400,28,1,15.87,1000,2026-06-01T13:37:51.591094
riverpod,search_clear,3732,63,11,51.84,1000,2026-06-01T13:37:52.705425
riverpod,delete_user,1960,50,11,42.05,1000,2026-06-01T13:37:54.780959
riverpod,load_page_2,4792,66,13,58.42,1000,2026-06-01T13:37:56.880711
riverpod,load_page_3,5316,85,21,73.54,1000,2026-06-01T13:37:58.264973
getx,load_page_1,4460,42,10,27.67,1000,2026-06-01T13:38:02.354889
getx,add_user,5756,45,10,35.08,1000,2026-06-01T13:38:14.707534
getx,add_user,3864,55,10,53.37,1000,2026-06-01T13:38:24.539060
getx,add_user,5732,42,10,30.05,1000,2026-06-01T13:38:34.196112
getx,add_user,5904,55,10,44.85,1000,2026-06-01T13:38:43.950538
getx,add_user,5684,53,10,39.76,1000,2026-06-01T13:38:53.733944
getx,edit_user,3548,26,10,23.55,1000,2026-06-01T13:39:00.120971
getx,search_query,432,21,1,13.49,1000,2026-06-01T13:39:02.630363
getx,search_clear,3612,58,10,47.53,1000,2026-06-01T13:39:03.738678
getx,delete_user,1544,66,10,49.97,1000,2026-06-01T13:39:05.845248
getx,load_page_2,716,58,22,50.91,1000,2026-06-01T13:39:07.932706
getx,load_page_3,5256,78,33,68.02,1000,2026-06-01T13:39:09.322309
provider,load_page_1,6408,46,11,35.20,1000,2026-06-01T13:39:13.459106
provider,add_user,5860,57,11,43.50,1000,2026-06-01T13:39:25.831256
provider,add_user,6204,56,11,47.38,1000,2026-06-01T13:39:35.610504
provider,add_user,5640,44,11,31.96,1000,2026-06-01T13:39:45.386599
provider,add_user,3732,54,11,42.13,1000,2026-06-01T13:39:55.225915
provider,add_user,5848,58,11,45.85,1000,2026-06-01T13:40:05.029421
provider,edit_user,3812,42,11,32.84,1000,2026-06-01T13:40:11.438460
provider,search_query,-1212,41,2,19.65,1000,2026-06-01T13:40:13.951160
provider,search_clear,1688,61,11,51.10,1000,2026-06-01T13:40:15.050129
provider,delete_user,1804,46,11,37.18,1000,2026-06-01T13:40:17.123394
provider,load_page_2,2992,76,23,62.10,1000,2026-06-01T13:40:19.232623
provider,load_page_3,5344,92,34,75.39,1000,2026-06-01T13:40:20.617270
watch_it,load_page_1,6456,48,11,33.80,1000,2026-06-01T13:40:24.711476
watch_it,add_user,5916,51,11,39.13,1000,2026-06-01T13:40:37.092445
watch_it,add_user,5676,55,11,42.63,1000,2026-06-01T13:40:46.913331
watch_it,add_user,5716,41,11,30.74,1000,2026-06-01T13:40:56.703456
watch_it,add_user,3648,58,11,45.38,1000,2026-06-01T13:41:06.502713
watch_it,add_user,3676,57,11,44.07,1000,2026-06-01T13:41:16.307053
watch_it,edit_user,3504,32,11,27.32,1000,2026-06-01T13:41:22.701324
watch_it,search_query,-1284,44,2,19.31,1000,2026-06-01T13:41:25.230780
watch_it,search_clear,3632,56,11,45.98,1000,2026-06-01T13:41:26.319286
watch_it,delete_user,1708,58,11,48.27,1000,2026-06-01T13:41:28.418912
watch_it,load_page_2,5244,77,23,62.37,1000,2026-06-01T13:41:30.527249
watch_it,load_page_3,5208,88,34,73.45,1000,2026-06-01T13:41:31.889924
