library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,15124,80,11,50.35,100,2026-05-31T10:54:21.205007
riverpod,add_user,4100,43,11,31.51,100,2026-05-31T10:54:33.422399
riverpod,add_user,3868,45,11,31.70,100,2026-05-31T10:54:43.127052
riverpod,add_user,3916,43,11,30.75,100,2026-05-31T10:54:52.798051
riverpod,add_user,3860,35,11,28.52,100,2026-05-31T10:55:02.492129
riverpod,add_user,1872,31,11,25.97,100,2026-05-31T10:55:12.179332
riverpod,edit_user,776,23,2,16.59,100,2026-05-31T10:55:18.510717
riverpod,search_query,676,21,1,14.15,100,2026-05-31T10:55:20.992995
riverpod,search_clear,3688,31,11,26.02,100,2026-05-31T10:55:22.054170
riverpod,delete_user,3820,42,11,29.27,100,2026-05-31T10:55:24.128673
riverpod,load_page_2,2944,48,13,39.38,100,2026-05-31T10:55:26.204053
riverpod,load_page_3,8480,80,21,56.23,100,2026-05-31T10:55:27.581635
getx,load_page_1,6216,38,10,22.05,100,2026-05-31T10:55:31.596092
getx,add_user,5788,42,10,29.33,100,2026-05-31T10:55:43.841056
getx,add_user,3588,41,10,29.25,100,2026-05-31T10:55:53.510642
getx,add_user,5852,29,10,26.15,100,2026-05-31T10:56:03.177283
getx,add_user,3760,33,10,26.71,100,2026-05-31T10:56:12.860628
getx,add_user,5928,41,10,29.34,100,2026-05-31T10:56:22.563948
getx,edit_user,748,11,1,10.80,100,2026-05-31T10:56:28.881199
getx,search_query,620,13,1,8.95,100,2026-05-31T10:56:31.382123
getx,search_clear,5360,42,10,29.01,100,2026-05-31T10:56:32.466522
getx,delete_user,3280,41,10,27.47,100,2026-05-31T10:56:34.536450
getx,load_page_2,2944,56,22,43.56,100,2026-05-31T10:56:36.612261
getx,load_page_3,5320,72,33,57.78,100,2026-05-31T10:56:37.975807
provider,load_page_1,6272,44,11,26.09,100,2026-05-31T10:56:42.032874
provider,add_user,4044,40,11,29.52,100,2026-05-31T10:56:54.318760
provider,add_user,5876,44,11,30.73,100,2026-05-31T10:57:04.004091
provider,add_user,5824,42,11,30.20,100,2026-05-31T10:57:13.667033
provider,add_user,5864,40,11,29.85,100,2026-05-31T10:57:23.345996
provider,add_user,3860,41,11,29.46,100,2026-05-31T10:57:33.017556
provider,edit_user,-1292,14,2,12.01,100,2026-05-31T10:57:39.343049
provider,search_query,600,21,1,13.08,100,2026-05-31T10:57:41.836375
provider,search_clear,3552,34,11,27.83,100,2026-05-31T10:57:42.893027
provider,delete_user,3972,42,11,27.98,100,2026-05-31T10:57:44.964265
provider,load_page_2,2432,50,13,37.21,100,2026-05-31T10:57:47.042161
provider,load_page_3,4776,63,21,51.11,100,2026-05-31T10:57:48.404627
watch_it,load_page_1,6104,32,11,20.89,100,2026-05-31T10:57:52.438297
watch_it,add_user,3984,41,11,32.26,100,2026-05-31T10:58:04.696327
watch_it,add_user,4016,29,11,23.02,100,2026-05-31T10:58:14.348010
watch_it,add_user,1584,33,11,26.34,100,2026-05-31T10:58:24.007808
watch_it,add_user,3864,32,11,26.75,100,2026-05-31T10:58:33.711927
watch_it,add_user,3924,34,11,26.69,100,2026-05-31T10:58:43.373719
watch_it,edit_user,-1484,10,1,14.27,100,2026-05-31T10:58:49.697551
watch_it,search_query,532,14,2,12.74,100,2026-05-31T10:58:52.185147
watch_it,search_clear,3712,35,11,28.74,100,2026-05-31T10:58:53.252424
watch_it,delete_user,3988,30,11,22.52,100,2026-05-31T10:58:55.307560
watch_it,load_page_2,3216,50,23,40.60,100,2026-05-31T10:58:57.387984
watch_it,load_page_3,5472,74,34,59.65,100,2026-05-31T10:58:58.752358
