library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,16492,65,11,40.87,5000,2026-05-31T11:44:37.951973
riverpod,add_user,4228,28,11,23.48,5000,2026-05-31T11:44:50.140281
riverpod,add_user,1868,42,11,29.96,5000,2026-05-31T11:44:59.833407
riverpod,add_user,4048,31,11,25.38,5000,2026-05-31T11:45:09.491286
riverpod,add_user,3916,33,11,27.88,5000,2026-05-31T11:45:19.156726
riverpod,add_user,6080,32,11,26.21,5000,2026-05-31T11:45:28.826717
riverpod,edit_user,556,21,2,14.78,5000,2026-05-31T11:45:35.164063
riverpod,search_query,1028,33,1,12.14,5000,2026-05-31T11:45:37.665419
riverpod,search_clear,3648,33,11,28.07,5000,2026-05-31T11:45:38.737529
riverpod,delete_user,3732,41,11,27.79,5000,2026-05-31T11:45:40.806181
riverpod,load_page_2,12064,99,43,85.30,5000,2026-05-31T11:45:42.937039
riverpod,load_page_3,18952,130,51,96.60,5000,2026-05-31T11:45:44.319462
getx,load_page_1,6232,37,10,27.94,5000,2026-05-31T11:45:48.352672
getx,add_user,3808,41,10,27.86,5000,2026-05-31T11:46:00.611181
getx,add_user,1836,29,10,23.29,5000,2026-05-31T11:46:10.284212
getx,add_user,3772,31,10,25.65,5000,2026-05-31T11:46:19.960038
getx,add_user,3844,40,10,28.18,5000,2026-05-31T11:46:29.647307
getx,add_user,1608,30,10,23.54,5000,2026-05-31T11:46:39.304089
getx,edit_user,-1556,11,1,12.40,5000,2026-05-31T11:46:45.650357
getx,search_query,760,31,1,11.02,5000,2026-05-31T11:46:48.153999
getx,search_clear,3340,33,10,27.05,5000,2026-05-31T11:46:49.217349
getx,delete_user,3760,39,10,23.42,5000,2026-05-31T11:46:51.294063
getx,load_page_2,13480,104,52,81.60,5000,2026-05-31T11:46:53.427
getx,load_page_3,20220,129,63,106.00,5000,2026-05-31T11:46:54.799809
provider,load_page_1,6160,39,11,28.60,5000,2026-05-31T11:46:58.835513
provider,add_user,5996,43,11,30.33,5000,2026-05-31T11:47:11.102035
provider,add_user,1592,29,11,23.60,5000,2026-05-31T11:47:20.758425
provider,add_user,1676,29,11,23.28,5000,2026-05-31T11:47:30.437091
provider,add_user,1672,27,11,22.06,5000,2026-05-31T11:47:40.124128
provider,add_user,1756,29,11,23.19,5000,2026-05-31T11:47:49.788826
provider,edit_user,-1536,16,2,13.87,5000,2026-05-31T11:47:56.115964
provider,search_query,848,32,1,11.91,5000,2026-05-31T11:47:58.615649
provider,search_clear,3672,33,11,26.87,5000,2026-05-31T11:47:59.669144
provider,delete_user,3788,42,11,27.28,5000,2026-05-31T11:48:01.741736
provider,load_page_2,12844,97,43,76.01,5000,2026-05-31T11:48:03.867349
provider,load_page_3,16980,120,51,84.44,5000,2026-05-31T11:48:05.236741
watch_it,load_page_1,6380,36,11,30.57,5000,2026-05-31T11:48:09.262505
watch_it,add_user,-72,34,11,26.81,5000,2026-05-31T11:48:21.519470
watch_it,add_user,3832,42,11,30.39,5000,2026-05-31T11:48:31.184472
watch_it,add_user,1844,30,11,23.92,5000,2026-05-31T11:48:40.865688
watch_it,add_user,5832,34,11,25.29,5000,2026-05-31T11:48:50.510986
watch_it,add_user,5744,46,11,30.48,5000,2026-05-31T11:49:00.180259
watch_it,edit_user,704,22,1,12.92,5000,2026-05-31T11:49:06.520061
watch_it,search_query,3060,22,2,13.31,5000,2026-05-31T11:49:09.019032
watch_it,search_clear,4680,48,11,41.94,5000,2026-05-31T11:49:10.091020
watch_it,delete_user,2036,36,11,22.68,5000,2026-05-31T11:49:12.144131
watch_it,load_page_2,13448,102,53,81.00,5000,2026-05-31T11:49:14.276153
watch_it,load_page_3,21200,136,64,88.36,5000,2026-05-31T11:49:15.655419
