library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,18000,70,11,39.14,5000,2026-05-31T11:49:52.968045
riverpod,add_user,6164,43,11,30.73,5000,2026-05-31T11:50:05.209961
riverpod,add_user,2052,40,11,25.28,5000,2026-05-31T11:50:14.876069
riverpod,add_user,3972,31,11,25.30,5000,2026-05-31T11:50:24.607354
riverpod,add_user,5804,41,11,27.27,5000,2026-05-31T11:50:34.305097
riverpod,add_user,5684,52,11,30.95,5000,2026-05-31T11:50:44.013013
riverpod,edit_user,904,13,2,11.44,5000,2026-05-31T11:50:50.294880
riverpod,search_query,1172,36,1,10.61,5000,2026-05-31T11:50:52.798245
riverpod,search_clear,3608,31,11,24.32,5000,2026-05-31T11:50:53.861507
riverpod,delete_user,6728,51,11,33.22,5000,2026-05-31T11:50:55.943668
riverpod,load_page_2,7404,99,43,84.49,5000,2026-05-31T11:50:58.062208
riverpod,load_page_3,17712,118,51,85.64,5000,2026-05-31T11:50:59.424759
getx,load_page_1,6136,43,10,26.59,5000,2026-05-31T11:51:03.441533
getx,add_user,5928,42,10,29.40,5000,2026-05-31T11:51:15.692847
getx,add_user,3976,30,10,24.82,5000,2026-05-31T11:51:25.392354
getx,add_user,5844,48,10,34.66,5000,2026-05-31T11:51:35.101525
getx,add_user,3912,32,10,26.31,5000,2026-05-31T11:51:44.764790
getx,add_user,6064,42,10,29.36,5000,2026-05-31T11:51:54.428173
getx,edit_user,-1556,13,1,12.51,5000,2026-05-31T11:52:00.754355
getx,search_query,716,30,1,10.54,5000,2026-05-31T11:52:03.266069
getx,search_clear,3320,33,10,26.33,5000,2026-05-31T11:52:04.320103
getx,delete_user,3816,42,10,26.86,5000,2026-05-31T11:52:06.393606
getx,load_page_2,13696,103,52,82.66,5000,2026-05-31T11:52:08.532088
getx,load_page_3,14364,110,63,88.97,5000,2026-05-31T11:52:09.883646
provider,load_page_1,6216,37,11,29.16,5000,2026-05-31T11:52:13.906151
provider,add_user,3712,33,11,27.78,5000,2026-05-31T11:52:26.125255
provider,add_user,1732,34,11,25.93,5000,2026-05-31T11:52:35.812831
provider,add_user,6200,41,11,29.53,5000,2026-05-31T11:52:45.499094
provider,add_user,1736,31,11,25.92,5000,2026-05-31T11:52:55.184105
provider,add_user,5844,43,11,29.32,5000,2026-05-31T11:53:04.874445
provider,edit_user,-1220,15,2,13.50,5000,2026-05-31T11:53:11.186446
provider,search_query,948,21,1,10.29,5000,2026-05-31T11:53:13.676074
provider,search_clear,3608,32,11,26.79,5000,2026-05-31T11:53:14.750130
provider,delete_user,4024,40,11,26.27,5000,2026-05-31T11:53:16.822445
provider,load_page_2,11000,98,43,79.84,5000,2026-05-31T11:53:18.950664
provider,load_page_3,15564,122,51,86.08,5000,2026-05-31T11:53:20.320261
watch_it,load_page_1,4228,39,11,28.71,5000,2026-05-31T11:53:24.329581
watch_it,add_user,5796,43,11,30.58,5000,2026-05-31T11:53:36.616903
watch_it,add_user,3996,42,11,30.83,5000,2026-05-31T11:53:46.287010
watch_it,add_user,6360,47,11,32.82,5000,2026-05-31T11:53:55.956719
watch_it,add_user,6084,44,11,30.67,5000,2026-05-31T11:54:05.639108
watch_it,add_user,1808,33,11,26.76,5000,2026-05-31T11:54:15.291526
watch_it,edit_user,-1544,13,1,12.31,5000,2026-05-31T11:54:21.608187
watch_it,search_query,892,21,2,10.53,5000,2026-05-31T11:54:24.103104
watch_it,search_clear,3736,51,11,45.32,5000,2026-05-31T11:54:25.177199
watch_it,delete_user,1660,39,11,26.38,5000,2026-05-31T11:54:27.230804
watch_it,load_page_2,11476,102,53,83.30,5000,2026-05-31T11:54:29.361238
watch_it,load_page_3,19136,139,64,99.19,5000,2026-05-31T11:54:30.743657
