library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,10104,36,1,26.25,0,2026-05-31T12:43:33.100150
riverpod,add_user,-552,24,2,20.98,0,2026-05-31T12:43:45.272234
riverpod,add_user,-484,20,3,15.91,0,2026-05-31T12:43:54.901909
riverpod,add_user,-180,27,4,21.51,0,2026-05-31T12:44:04.547072
riverpod,add_user,2224,24,5,19.66,0,2026-05-31T12:44:14.221502
riverpod,add_user,4656,24,6,19.57,0,2026-05-31T12:44:23.913801
riverpod,edit_user,-1280,19,2,15.96,0,2026-05-31T12:44:30.246688
riverpod,search_query,572,14,1,8.53,0,2026-05-31T12:44:32.726076
riverpod,search_clear,2132,23,6,18.05,0,2026-05-31T12:44:33.783203
riverpod,delete_user,-140,29,5,18.29,0,2026-05-31T12:44:35.853567
getx,load_page_1,-12700,24,0,19.59,0,2026-05-31T12:44:40.669784
getx,add_user,920,17,1,12.15,0,2026-05-31T12:44:52.893571
getx,add_user,1100,18,2,13.29,0,2026-05-31T12:45:02.554155
getx,add_user,1676,20,3,18.26,0,2026-05-31T12:45:12.201601
getx,add_user,2032,28,4,18.57,0,2026-05-31T12:45:21.811994
getx,add_user,2096,25,5,20.16,0,2026-05-31T12:45:31.436124
getx,edit_user,-1552,12,1,10.38,0,2026-05-31T12:45:37.739045
getx,search_query,332,13,1,11.92,0,2026-05-31T12:45:40.225081
getx,search_clear,3872,21,5,16.67,0,2026-05-31T12:45:41.280407
getx,delete_user,-236,28,4,16.89,0,2026-05-31T12:45:43.351943
provider,load_page_1,3280,14,1,13.49,0,2026-05-31T12:45:48.129454
provider,add_user,-1184,19,2,13.62,0,2026-05-31T12:46:00.369335
provider,add_user,1284,22,3,16.04,0,2026-05-31T12:46:10.047100
provider,add_user,3780,21,4,16.09,0,2026-05-31T12:46:19.712195
provider,add_user,2112,25,5,19.65,0,2026-05-31T12:46:29.398171
provider,add_user,4408,25,6,20.87,0,2026-05-31T12:46:39.075901
provider,edit_user,-1560,15,2,19.03,0,2026-05-31T12:46:45.397071
provider,search_query,444,21,1,14.12,0,2026-05-31T12:46:47.889214
provider,search_clear,4152,23,6,18.91,0,2026-05-31T12:46:48.937632
provider,delete_user,-412,21,5,16.17,0,2026-05-31T12:46:51.005929
watch_it,load_page_1,3204,24,1,17.15,0,2026-05-31T12:46:55.821059
watch_it,add_user,-1076,17,2,11.85,0,2026-05-31T12:47:08.032404
watch_it,add_user,1460,22,3,16.83,0,2026-05-31T12:47:17.678249
watch_it,add_user,1832,23,4,17.44,0,2026-05-31T12:47:27.319088
watch_it,add_user,632,22,5,18.11,0,2026-05-31T12:47:36.960373
watch_it,add_user,2240,25,6,19.68,0,2026-05-31T12:47:46.628162
watch_it,edit_user,-1556,11,1,11.38,0,2026-05-31T12:47:52.962010
watch_it,search_query,516,24,2,13.75,0,2026-05-31T12:47:55.469736
watch_it,search_clear,4360,23,6,18.01,0,2026-05-31T12:47:56.521330
watch_it,delete_user,-140,30,5,17.71,0,2026-05-31T12:47:58.592601
