library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,12932,59,11,53.04,1000,2026-05-31T11:15:30.316499
riverpod,add_user,6292,49,11,31.63,1000,2026-05-31T11:15:42.577196
riverpod,add_user,3748,38,11,26.84,1000,2026-05-31T11:15:52.247031
riverpod,add_user,5820,41,11,32.33,1000,2026-05-31T11:16:01.966289
riverpod,add_user,1856,32,11,26.61,1000,2026-05-31T11:16:11.647647
riverpod,add_user,3904,29,11,24.21,1000,2026-05-31T11:16:21.319081
riverpod,edit_user,-1300,16,2,14.84,1000,2026-05-31T11:16:27.643565
riverpod,search_query,500,23,1,12.16,1000,2026-05-31T11:16:30.135009
riverpod,search_clear,3540,33,11,27.30,1000,2026-05-31T11:16:31.187208
riverpod,delete_user,4040,43,11,29.77,1000,2026-05-31T11:16:33.260463
riverpod,load_page_2,7004,49,13,40.09,1000,2026-05-31T11:16:35.336288
riverpod,load_page_3,8148,79,21,60.72,1000,2026-05-31T11:16:36.712692
getx,load_page_1,4196,36,10,21.83,1000,2026-05-31T11:16:40.725602
getx,add_user,1712,28,10,22.94,1000,2026-05-31T11:16:52.967322
getx,add_user,1660,31,10,24.82,1000,2026-05-31T11:17:02.636327
getx,add_user,1740,32,10,26.51,1000,2026-05-31T11:17:12.314852
getx,add_user,1532,31,10,26.42,1000,2026-05-31T11:17:21.990792
getx,add_user,5824,42,10,29.78,1000,2026-05-31T11:17:31.685032
getx,edit_user,512,20,1,13.45,1000,2026-05-31T11:17:38.012097
getx,search_query,508,19,1,13.81,1000,2026-05-31T11:17:40.499261
getx,search_clear,3316,31,10,26.35,1000,2026-05-31T11:17:41.563167
getx,delete_user,3484,42,10,28.78,1000,2026-05-31T11:17:43.636661
getx,load_page_2,2856,55,22,43.52,1000,2026-05-31T11:17:45.720038
getx,load_page_3,7044,65,33,56.38,1000,2026-05-31T11:17:47.070904
provider,load_page_1,6260,40,11,23.75,1000,2026-05-31T11:17:51.126369
provider,add_user,4064,28,11,22.49,1000,2026-05-31T11:18:03.376041
provider,add_user,5844,42,11,30.94,1000,2026-05-31T11:18:13.086063
provider,add_user,3920,30,11,24.91,1000,2026-05-31T11:18:22.730243
provider,add_user,3716,44,11,30.86,1000,2026-05-31T11:18:32.430126
provider,add_user,5724,43,11,30.39,1000,2026-05-31T11:18:42.089108
provider,edit_user,-1524,14,2,13.61,1000,2026-05-31T11:18:48.405043
provider,search_query,620,21,1,12.38,1000,2026-05-31T11:18:50.903163
provider,search_clear,3720,33,11,26.50,1000,2026-05-31T11:18:51.959102
provider,delete_user,3784,44,11,29.03,1000,2026-05-31T11:18:54.031167
provider,load_page_2,4480,54,13,39.35,1000,2026-05-31T11:18:56.128355
provider,load_page_3,4668,67,21,52.30,1000,2026-05-31T11:18:57.491050
watch_it,load_page_1,4188,36,11,21.48,1000,2026-05-31T11:19:01.546637
watch_it,add_user,3868,34,11,27.81,1000,2026-05-31T11:19:13.828129
watch_it,add_user,1692,32,11,26.70,1000,2026-05-31T11:19:23.495075
watch_it,add_user,3704,34,11,27.98,1000,2026-05-31T11:19:33.194395
watch_it,add_user,3920,44,11,31.06,1000,2026-05-31T11:19:42.848134
watch_it,add_user,5864,41,11,30.45,1000,2026-05-31T11:19:52.515203
watch_it,edit_user,-1552,11,1,12.65,1000,2026-05-31T11:19:58.827042
watch_it,search_query,-1524,22,2,6.65,1000,2026-05-31T11:20:01.309961
watch_it,search_clear,3648,31,11,24.30,1000,2026-05-31T11:20:02.364961
watch_it,delete_user,1780,39,11,27.62,1000,2026-05-31T11:20:04.429468
watch_it,load_page_2,1008,58,23,42.64,1000,2026-05-31T11:20:06.515092
watch_it,load_page_3,5400,74,34,60.56,1000,2026-05-31T11:20:07.879462
