library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,16932,60,11,39.35,5000,2026-06-01T14:18:12.275207
riverpod,add_user,5996,55,11,44.97,5000,2026-06-01T14:18:24.649661
riverpod,add_user,5864,55,11,43.90,5000,2026-06-01T14:18:34.415004
riverpod,add_user,5808,57,11,44.27,5000,2026-06-01T14:18:44.218420
riverpod,add_user,5716,40,11,32.50,5000,2026-06-01T14:18:53.991072
riverpod,add_user,5992,43,11,34.01,5000,2026-06-01T14:19:03.798845
riverpod,edit_user,544,30,2,24.77,5000,2026-06-01T14:19:10.192126
riverpod,search_query,-1068,33,1,12.21,5000,2026-06-01T14:19:12.737064
riverpod,search_clear,1736,60,11,48.59,5000,2026-06-01T14:19:13.846290
riverpod,delete_user,1924,61,11,46.02,5000,2026-06-01T14:19:15.955167
riverpod,load_page_2,11972,109,43,96.39,5000,2026-06-01T14:19:18.096457
riverpod,load_page_3,12116,131,51,119.22,5000,2026-06-01T14:19:19.474086
getx,load_page_1,6436,35,10,53.70,5000,2026-06-01T14:19:23.603527
getx,add_user,5680,43,10,33.02,5000,2026-06-01T14:19:35.987657
getx,add_user,5660,52,10,40.80,5000,2026-06-01T14:19:45.783465
getx,add_user,5768,53,10,39.24,5000,2026-06-01T14:19:55.568706
getx,add_user,5660,49,10,37.13,5000,2026-06-01T14:20:05.354372
getx,add_user,5996,36,10,29.40,5000,2026-06-01T14:20:15.150439
getx,edit_user,3340,39,10,30.12,5000,2026-06-01T14:20:21.572098
getx,search_query,-1340,50,1,13.26,5000,2026-06-01T14:20:24.104068
getx,search_clear,5400,47,10,42.04,5000,2026-06-01T14:20:25.181264
getx,delete_user,1552,68,10,45.91,5000,2026-06-01T14:20:27.267911
getx,load_page_2,13340,110,52,98.66,5000,2026-06-01T14:20:29.400257
getx,load_page_3,12388,135,63,115.23,5000,2026-06-01T14:20:30.782112
provider,load_page_1,6392,49,11,49.01,5000,2026-06-01T14:20:34.895979
provider,add_user,5964,52,11,40.74,5000,2026-06-01T14:20:47.213681
provider,add_user,5812,57,11,44.28,5000,2026-06-01T14:20:57.007909
provider,add_user,5936,51,11,39.35,5000,2026-06-01T14:21:06.796386
provider,add_user,5796,55,11,41.81,5000,2026-06-01T14:21:16.611262
provider,add_user,3620,57,11,44.70,5000,2026-06-01T14:21:26.413417
provider,edit_user,3396,44,11,34.54,5000,2026-06-01T14:21:32.821328
provider,search_query,-928,37,2,11.70,5000,2026-06-01T14:21:35.335681
provider,search_clear,3616,60,11,49.48,5000,2026-06-01T14:21:36.460397
provider,delete_user,2020,48,11,39.15,5000,2026-06-01T14:21:38.530734
provider,load_page_2,11352,116,53,103.57,5000,2026-06-01T14:21:40.693756
provider,load_page_3,12520,123,64,105.47,5000,2026-06-01T14:21:42.080062
watch_it,load_page_1,6164,35,11,47.71,5000,2026-06-01T14:21:46.188743
watch_it,add_user,5884,58,11,48.26,5000,2026-06-01T14:21:58.558598
watch_it,add_user,3780,60,11,43.96,5000,2026-06-01T14:22:08.347961
watch_it,add_user,5680,58,11,44.19,5000,2026-06-01T14:22:18.135360
watch_it,add_user,5672,56,11,42.74,5000,2026-06-01T14:22:27.897189
watch_it,add_user,3744,55,11,41.69,5000,2026-06-01T14:22:37.666735
watch_it,edit_user,3812,44,11,35.00,5000,2026-06-01T14:22:44.059704
watch_it,search_query,-1024,38,2,11.68,5000,2026-06-01T14:22:46.574554
watch_it,search_clear,5592,63,11,50.76,5000,2026-06-01T14:22:47.682418
watch_it,delete_user,1856,38,11,35.27,5000,2026-06-01T14:22:49.739263
watch_it,load_page_2,9368,116,53,102.66,5000,2026-06-01T14:22:51.912330
watch_it,load_page_3,20548,140,64,101.98,5000,2026-06-01T14:22:53.319124
