library,event,rss_delta_kb,duration_ms,rebuild_count,worst_frame_ms,dataset_size,timestamp
riverpod,load_page_1,16296,64,11,40.70,5000,2026-06-01T14:11:03.158002
riverpod,add_user,5908,59,11,47.46,5000,2026-06-01T14:11:15.559556
riverpod,add_user,5016,50,11,44.20,5000,2026-06-01T14:11:25.344902
riverpod,add_user,3892,58,11,40.40,5000,2026-06-01T14:11:35.070890
riverpod,add_user,5756,56,11,44.39,5000,2026-06-01T14:11:44.850291
riverpod,add_user,5824,55,11,42.77,5000,2026-06-01T14:11:54.621132
riverpod,edit_user,544,33,2,25.42,5000,2026-06-01T14:12:01.015004
riverpod,search_query,-1044,39,1,12.39,5000,2026-06-01T14:12:03.525341
riverpod,search_clear,1696,63,11,51.64,5000,2026-06-01T14:12:04.636638
riverpod,delete_user,1972,64,11,48.06,5000,2026-06-01T14:12:06.734511
riverpod,load_page_2,12272,116,43,110.67,5000,2026-06-01T14:12:08.879417
riverpod,load_page_3,12628,122,51,111.27,5000,2026-06-01T14:12:10.276233
getx,load_page_1,7916,63,10,50.23,5000,2026-06-01T14:12:14.429807
getx,add_user,5736,53,10,40.83,5000,2026-06-01T14:12:26.789143
getx,add_user,5720,57,10,42.52,5000,2026-06-01T14:12:36.622202
getx,add_user,5656,55,10,41.74,5000,2026-06-01T14:12:46.427684
getx,add_user,4696,57,10,42.30,5000,2026-06-01T14:12:56.184665
getx,add_user,3680,58,10,43.90,5000,2026-06-01T14:13:05.954007
getx,edit_user,3408,39,10,30.17,5000,2026-06-01T14:13:12.368305
getx,search_query,756,38,1,13.02,5000,2026-06-01T14:13:14.876544
getx,search_clear,3244,56,10,44.74,5000,2026-06-01T14:13:15.980407
getx,delete_user,1636,66,10,48.54,5000,2026-06-01T14:13:18.089422
getx,load_page_2,11400,113,52,101.28,5000,2026-06-01T14:13:20.245449
getx,load_page_3,12776,123,63,103.71,5000,2026-06-01T14:13:21.627622
provider,load_page_1,6424,39,11,44.64,5000,2026-06-01T14:13:25.727676
provider,add_user,5820,55,11,40.38,5000,2026-06-01T14:13:38.097597
provider,add_user,5752,61,11,51.86,5000,2026-06-01T14:13:47.901066
provider,add_user,5816,58,11,44.52,5000,2026-06-01T14:13:57.684249
provider,add_user,5924,59,11,45.27,5000,2026-06-01T14:14:07.464042
provider,add_user,5864,59,11,47.30,5000,2026-06-01T14:14:17.226181
provider,edit_user,3640,40,11,33.10,5000,2026-06-01T14:14:23.615885
provider,search_query,-984,40,2,15.32,5000,2026-06-01T14:14:26.141559
provider,search_clear,1652,57,11,46.04,5000,2026-06-01T14:14:27.245609
provider,delete_user,1976,60,11,42.43,5000,2026-06-01T14:14:29.346465
provider,load_page_2,11344,116,53,102.78,5000,2026-06-01T14:14:31.497196
provider,load_page_3,20016,153,64,113.10,5000,2026-06-01T14:14:32.923984
watch_it,load_page_1,6168,53,11,48.59,5000,2026-06-01T14:14:37.050931
watch_it,add_user,5932,56,11,43.30,5000,2026-06-01T14:14:49.418937
watch_it,add_user,3636,55,11,39.57,5000,2026-06-01T14:14:59.209323
watch_it,add_user,3624,57,11,56.16,5000,2026-06-01T14:15:08.933430
watch_it,add_user,5728,58,11,44.90,5000,2026-06-01T14:15:18.746198
watch_it,add_user,5976,55,11,43.04,5000,2026-06-01T14:15:28.514477
watch_it,edit_user,3076,44,11,33.74,5000,2026-06-01T14:15:34.921687
watch_it,search_query,-1000,36,2,11.76,5000,2026-06-01T14:15:37.411870
watch_it,search_clear,3544,51,11,42.74,5000,2026-06-01T14:15:38.479437
watch_it,delete_user,1848,64,11,45.33,5000,2026-06-01T14:15:40.597939
watch_it,load_page_2,9112,116,53,99.92,5000,2026-06-01T14:15:42.741670
watch_it,load_page_3,12488,124,64,103.38,5000,2026-06-01T14:15:44.138920
